"method","model","benchmark","model_key","mask_type","budget","requested_budget","effective_budget","budget_repaired","mask_id","converged","reason","n_obs","n_test","n_total","P","J","n_params","ridge_lambda","intercept_ridge","max_iter","tol","iterations","final_loss","gradient_norm","train_log_loss","train_brier","test_log_loss","test_brier","true_avg","true_sd","true_min","true_q25","true_q50","true_q75","true_max","pred_avg","pred_sd","pred_min","pred_q25","pred_q50","pred_q75","pred_max","alpha","prompt_eff_mean","prompt_eff_sd","item_diff_mean","item_diff_sd","score_rule","w1","mean_abs_error","prompt_mae","prompt_rmse","q25_abs_error","q50_abs_error","q75_abs_error"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","0","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","1000","4000","5000","50","100","151","1e-06","0.0","1000","1e-07","58","150.28910112717347","0.005594773053963883","0.15027875872382854","0.0488858843787405","0.6902129822445809","0.11229731793461777","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.7023828578731954","0.08918059180456793","0.5089577894290093","0.6415295381137753","0.6981298154606905","0.7816653929512749","0.8901560960036241","7.574454300735745","1.9984014443252817e-17","3.2938210912689314","-7.105427357601002e-17","14.269797048160681","observed_true_unobserved_fitted_probability_imputation","0.04438985937510902","0.013182857873195397","0.06465096216077813","0.07720770981479357","0.0184704618862247","0.0018701845393094274","0.07166539295127494"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","1","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","1000","4000","5000","50","100","151","1e-06","0.0","1000","1e-07","45","177.1325222742534","0.003524893135604459","0.17712711329996364","0.056720826862911786","0.43625658459347527","0.09862039413514886","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6887335820718645","0.07461401907269986","0.49345558025042807","0.6414741682775739","0.6892108962307113","0.7598463201990228","0.7941434930489675","4.362328025268809","-1.3322676295501878e-17","1.3270124665751246","2.486899575160351e-16","10.411408541803517","observed_true_unobserved_fitted_probability_imputation","0.03381469198640872","0.00046641792813550964","0.05236733777998759","0.06381869183430414","0.018525831722426167","0.010789103769288655","0.0498463201990228"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","2","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","1000","4000","5000","50","100","151","1e-06","0.0","1000","1e-07","35","184.02151790433825","0.022505703798617625","0.1840154234835412","0.05920893350267398","0.42929525792908113","0.10184852107684916","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6895790550193059","0.07831867283880019","0.49282014140644753","0.6409588987170592","0.6959928389105962","0.7326723776910375","0.8678625547059395","4.837974537317528","-8.881784197001253e-18","1.5219028989084675","5.506706202140776e-16","11.044154028434615","observed_true_unobserved_fitted_probability_imputation","0.030763962192566816","0.00037905501930590724","0.05197485894409484","0.06498146192141806","0.019041101282940787","0.004007161089403799","0.022672377691037582"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","3","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","1000","4000","5000","50","100","151","1e-06","0.0","1000","1e-07","36","176.50599673914198","0.008046841332091957","0.17650065790831276","0.056065337921580784","0.45513252999143766","0.0947992736679795","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6909615161737954","0.06709529297951995","0.554781731484344","0.6402948434579716","0.6962472720378945","0.7448701623510375","0.8257505505710476","4.526763518265628","1.7763568394002505e-17","1.2411833232487461","4.263256414560601e-16","10.348392907015356","observed_true_unobserved_fitted_probability_imputation","0.02595530336199233","0.0017615161737953855","0.04022584480463776","0.05019164200462556","0.019705156542028424","0.003752727962105462","0.03487016235103757"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","4","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","1000","4000","5000","50","100","151","1e-06","0.0","1000","1e-07","34","164.81714067226065","0.02035917727426717","0.1648086079805684","0.05219927955378153","0.6050286750042658","0.10409712987256144","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.701198642649242","0.08113465170403404","0.514145168638465","0.6457303023514135","0.6887971590908124","0.7402935801738514","0.8710091634535944","5.756734743107404","-8.604228440844963e-17","3.585300489761083","-1.9539925233402755e-16","12.88557041835994","observed_true_unobserved_fitted_probability_imputation","0.0349651905028336","0.011998642649241997","0.054337107969269806","0.06860321893443894","0.014269697648586543","0.01120284090918755","0.03029358017385142"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","5","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","1000","4000","5000","50","100","151","1e-06","0.0","1000","1e-07","49","172.10424209262237","0.007778291687475427","0.17209905558027783","0.05590257897472058","0.41734901638045796","0.10130401865073839","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6917663271733818","0.08423639819898437","0.4924516840774233","0.6271545377654089","0.6906136355624979","0.7511385521741297","0.8619320677843981","4.855407001921068","-8.881784197001253e-18","1.6046477470882958","8.881784197001253e-17","10.173588748560578","observed_true_unobserved_fitted_probability_imputation","0.03679149029443465","0.0025663271733817883","0.04921871378993452","0.06859044395755043","0.03284546223459117","0.00938636443750207","0.04113855217412976"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","6","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","1000","4000","5000","50","100","151","1e-06","0.0","1000","1e-07","38","169.74815320552045","0.006517125312963412","0.16974350783740824","0.05562143384710441","0.42157670403877784","0.09345407054918581","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6843247858435066","0.06525180331606877","0.546021598912605","0.6431335147012507","0.6777380825382927","0.7108906173020842","0.8394677369555916","5.202529870241777","1.7763568394002505e-17","1.2317292900806411","2.486899575160351e-16","9.64827964628277","observed_true_unobserved_fitted_probability_imputation","0.025404489446679775","0.00487521415649339","0.04004180886778","0.049382316188783165","0.016866485298749345","0.022261917461707248","0.0008906173020842845"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","7","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","1000","4000","5000","50","100","151","1e-06","0.0","1000","1e-07","34","175.47834349355907","0.0033545658314084277","0.1754708702456004","0.056499219056014544","0.5599268836834737","0.09998309633938819","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.696487360734551","0.08212489051937724","0.5379710217578588","0.6424594606899499","0.6852618374625798","0.742973757140009","0.8705655946742561","5.319009576393699","2.2204460492503132e-17","3.2658368967139846","-7.105427357601002e-17","12.071147654381425","observed_true_unobserved_fitted_probability_imputation","0.03470832896465701","0.007287360734550941","0.05587364407001893","0.07057153789467428","0.017540539310050174","0.014738162537420108","0.03297375714000905"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","8","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","1000","4000","5000","50","100","151","1e-06","0.0","1000","1e-07","36","170.97689961070887","0.021404743080975352","0.17097174608287055","0.055307505728371904","0.41843798925746484","0.10090189047305892","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.696163330966003","0.07030305665321815","0.567704284512918","0.6495686040004399","0.6807980866839337","0.7505953141918829","0.8738337736946715","4.796583952590075","6.661338147750939e-17","2.022000221052198","-2.575717417130363e-16","10.103840466231139","observed_true_unobserved_fitted_probability_imputation","0.028665845121423245","0.00696333096600299","0.04684573073135539","0.059301342637916414","0.010431395999560111","0.019201913316066244","0.04059531419188289"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","9","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","1000","4000","5000","50","100","151","1e-06","0.0","1000","1e-07","39","170.73038473263813","0.053111835274178947","0.17072461696469612","0.05214054414381485","0.4964584000827255","0.10318318035754617","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.7019735364682603","0.08662185807924824","0.49596424273686796","0.6374553155820667","0.7132096941500466","0.7653372703780872","0.8893864574685882","5.193414148915286","-8.881784197001253e-18","1.8816188032634953","-5.329070518200751e-17","10.71302746381671","observed_true_unobserved_fitted_probability_imputation","0.043106769242077896","0.012773536468260294","0.06160356968040523","0.07678262848789284","0.022544684417933336","0.013209694150046691","0.05533727037808722"
