"method","model","benchmark","model_key","mask_type","budget","requested_budget","effective_budget","budget_repaired","mask_id","converged","iterations","gradient_norm","n_obs","n_test","n_total","n_params","design_rank","final_loss","newton_jitter","reason","train_log_loss","train_brier","test_log_loss","test_brier","true_avg","true_sd","true_min","true_q25","true_q50","true_q75","true_max","pred_avg","pred_sd","pred_min","pred_q25","pred_q50","pred_q75","pred_max","sigma_intercept","sigma_prompt","sigma_item","lambda_intercept","lambda_prompt","lambda_item","alpha","prompt_eff_mean","prompt_eff_sd","item_diff_mean","item_diff_sd","score_rule"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","0","True","6","2.044986921963781e-14","1000","4000","5000","151","149","366.307513658445","0.0","gradient_norm_below_tol","0.28137626871702504","0.0766953861567844","0.34770082807799396","0.10222977356580702","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.7059198020268447","0.06100499155062908","0.5749433686873043","0.6628361635727781","0.6914147397254906","0.7672460523481384","0.8122344281419187","5.0","1.0","1.0","0.04","1.0","1.0","1.1502582814900217","-2.220446049250313e-18","0.39801872945249217","-3.1086244689504386e-17","1.2793900044987532","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","1","True","6","1.4199415272036001e-14","1000","4000","5000","151","149","379.3936629201294","0.0","gradient_norm_below_tol","0.29534559397199484","0.08087299065445555","0.33810309594070065","0.0979271419659435","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6885843607688148","0.05793768208043948","0.5225961567982019","0.6412601812581518","0.6887520644390388","0.7416272641897496","0.780941765711005","5.0","1.0","1.0","0.04","1.0","1.0","1.0265703893125098","-1.5265566588595904e-17","0.36002874229368603","2.220446049250313e-18","1.2780294568185642","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","2","True","6","3.921944195804798e-14","1000","4000","5000","151","149","381.10983691339914","0.0","gradient_norm_below_tol","0.29752825356029805","0.08179870428740382","0.3425082311349966","0.09993069560847215","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6863790882039774","0.06112003026441298","0.511784300555448","0.6478524328997561","0.687686070657562","0.7188553549951183","0.8176303437344598","5.0","1.0","1.0","0.04","1.0","1.0","1.0190374597610192","1.3322676295501878e-17","0.37782350182137536","-2.6645352591003756e-17","1.2717872967310737","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","3","True","6","3.344149992656975e-14","1000","4000","5000","151","149","376.226530202357","0.0","gradient_norm_below_tol","0.2923231280434292","0.07986464615006447","0.33846158747295224","0.09780829951502555","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6931889565227702","0.05541702548806075","0.5345243418168022","0.648656110821425","0.6923868138425797","0.7217272046365025","0.8044236799307647","5.0","1.0","1.0","0.04","1.0","1.0","1.058789539990383","-1.1102230246251566e-18","0.34992185994719455","-1.7763568394002505e-17","1.278264854595375","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","4","True","6","2.4040926919388132e-14","1000","4000","5000","151","149","374.0045354806483","0.0","gradient_norm_below_tol","0.2897761830687171","0.07905607102407626","0.33947058650653955","0.09932021028969909","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.7004756416532331","0.05468718593317672","0.6009031761962296","0.6596890129730962","0.6895517897617309","0.7439184954332844","0.8126594049478141","5.0","1.0","1.0","0.04","1.0","1.0","1.1049561710640985","1.1102230246251566e-17","0.35733207708948284","-7.549516567451065e-17","1.2798012915747614","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","5","True","6","6.78472936595551e-14","1000","4000","5000","151","149","374.9030213637366","0.0","gradient_norm_below_tol","0.2910155968758577","0.07962960928247247","0.3407564786517038","0.09947725318859728","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6930661022758922","0.06755387136913514","0.5719616706480205","0.6447755945788848","0.6975804433897755","0.7433321784588992","0.8306276477756732","5.0","1.0","1.0","0.04","1.0","1.0","1.065387096690342","-1.3322676295501878e-17","0.42953146710267204","1.3322676295501878e-17","1.26606477010814","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","6","True","6","5.926960523863027e-13","1000","4000","5000","151","149","373.82657039346157","0.0","gradient_norm_below_tol","0.2870224277690022","0.078017008152036","0.33596302153792584","0.09706339751316098","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6855459933409148","0.05870977862056956","0.5636553807016873","0.6358671484920937","0.6817828907015847","0.7148422163399135","0.8163103901538001","5.0","1.0","1.0","0.04","1.0","1.0","1.0264518696676037","8.881784197001253e-18","0.37464848306720694","5.329070518200751e-17","1.2975829445624856","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","7","True","6","2.145965273159968e-14","1000","4000","5000","151","149","377.00174660422334","0.0","gradient_norm_below_tol","0.29449523428843477","0.08109280826504783","0.34424584171842254","0.10065460959241268","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6973365218099085","0.06299649085612481","0.5573759190291904","0.6524258364488951","0.6936052381748251","0.7484235855172424","0.8215950180356043","5.0","1.0","1.0","0.04","1.0","1.0","1.082056520708561","-5.551115123125783e-18","0.40319361043868124","9.769962616701378e-17","1.259310784290426","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","8","True","6","3.783377456693784e-13","1000","4000","5000","151","149","370.58978063929936","0.0","gradient_norm_below_tol","0.2859494246010166","0.07780092465682178","0.3418999497796604","0.10031519647439933","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6965095146081366","0.05931557917755401","0.5511708878275323","0.6480046625857515","0.6951368388113143","0.7330613153186833","0.8549382942586229","5.0","1.0","1.0","0.04","1.0","1.0","1.0839546738797323","-9.436895709313831e-18","0.38426689091812366","1.1102230246251566e-17","1.2791976756199088","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","9","True","6","6.227748981652954e-14","1000","4000","5000","151","149","373.4479690682872","0.0","gradient_norm_below_tol","0.2904081582215829","0.07943989530100663","0.3481580265864949","0.1024112893961871","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.7026792692217567","0.06522837892786418","0.5493623690798223","0.6558477821200803","0.7042599350593486","0.749196822802817","0.8191812682618856","5.0","1.0","1.0","0.04","1.0","1.0","1.115907160642107","0.0","0.4118846925480769","0.0","1.2621810958122124","observed_true_unobserved_probability_imputation"
