"method","benchmark","model_key","mask_type","budget","requested_budget","effective_budget","budget_repaired","mask_id","n_obs","n_test","n_total","train_log_loss","train_brier","test_log_loss","test_brier","true_avg","true_sd","true_min","true_q25","true_q50","true_q75","true_max","pred_avg","pred_sd","pred_min","pred_q25","pred_q50","pred_q75","pred_max"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.3","0.3","0.3","False","4","1500","3500","5000","0.6020948296438858","0.20673333333333335","0.6410503798771389","0.22284761904761904","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6926666666666667","0.0791937833974245","0.5333333333333333","0.6333333333333333","0.6666666666666666","0.7333333333333333","0.8666666666666667"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.3","0.3","0.3","False","5","1500","3500","5000","0.6048206787119103","0.20782222222222224","0.6376110877998321","0.22177777777777777","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6866666666666668","0.08650429583135692","0.43333333333333335","0.6333333333333333","0.7","0.7666666666666667","0.8333333333333334"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.3","0.3","0.3","False","6","1500","3500","5000","0.6065907304920674","0.20875555555555558","0.6341612951344748","0.21985396825396827","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6906666666666668","0.0706433025167722","0.5333333333333333","0.6333333333333333","0.7","0.7333333333333333","0.8666666666666667"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.3","0.3","0.3","False","7","1500","3500","5000","0.5995685419256511","0.20564444444444446","0.6421121700581521","0.22300317460317462","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6946666666666665","0.08119291994646521","0.5333333333333333","0.6333333333333333","0.6666666666666666","0.7333333333333333","0.8666666666666667"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.3","0.3","0.3","False","8","1500","3500","5000","0.5951516893915337","0.20344444444444446","0.646209982442958","0.22520317460317463","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6993333333333333","0.08343259394521009","0.5","0.6333333333333333","0.7","0.7666666666666667","0.8666666666666667"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.3","0.3","0.3","False","9","1500","3500","5000","0.6002544730399483","0.20588888888888893","0.6442434678351067","0.22405396825396828","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6953333333333334","0.07795864942652718","0.5333333333333333","0.6333333333333333","0.6666666666666666","0.7666666666666667","0.8666666666666667"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.3","0.3","0.3","False","10","1500","3500","5000","0.6033133505228999","0.20726666666666668","0.6429989835031359","0.2238","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6899999999999998","0.08227215496748094","0.5","0.6666666666666666","0.7","0.7333333333333333","0.8666666666666667"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.3","0.3","0.3","False","11","1500","3500","5000","0.6052833472768373","0.20808888888888888","0.6355921191627818","0.22059682539682543","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6893333333333334","0.07866228513106403","0.5","0.6333333333333333","0.7","0.7333333333333333","0.8666666666666667"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.3","0.3","0.3","False","12","1500","3500","5000","0.5926726624642017","0.20275555555555555","0.6472623775791948","0.22396825396825398","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.7","0.08597842897746567","0.5666666666666667","0.6333333333333333","0.7","0.7666666666666667","0.9333333333333333"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.3","0.3","0.3","False","13","1500","3500","5000","0.6078687837549555","0.20931111111111114","0.6362445366563345","0.2208031746031746","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6859999999999999","0.07884943601631343","0.5","0.6333333333333333","0.6666666666666666","0.7333333333333333","0.8666666666666667"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.3","0.3","0.3","False","14","1500","3500","5000","0.6094617343606302","0.21011111111111114","0.6366754023030524","0.2210698412698413","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.682","0.08308398068102535","0.5","0.6333333333333333","0.6666666666666666","0.7333333333333333","0.8666666666666667"
