model,subject,mask_design,benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
google_gemma_7b,abstract_algebra,random,mmlu:abstract_algebra,google_gemma_7b,1600.0,random_uniform,Avg,0.0857827025285736,0.0070455883667323,0.1090773244012496,0.0085597959823715,0.0633152905201675,0.0080071496673733,0.6761736599022197,0.0406621200614003,0.2191502907168034,0.0021229635576946,,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,abstract_algebra,random,mmlu:abstract_algebra,google_gemma_7b,1600.0,random_uniform,BayPIRE,0.0227116966338511,0.0008828389393296,0.0280502070015148,0.0011317636553091,0.0143383608406829,0.0022177947786592,0.2778816334382434,0.0034061383044496,0.0860259728209982,0.0011885364253137,1.0,0.766,0.0977752524926425,0.0705556477509779,0.0145787650222322,0.0705989989772644,0.0148692883646594,0.981,0.0087559503577091,0.1227934999999999,0.0080387107002443,0.124,0.0084327404271156,1.0,0.0,0.0248635655033236,0.0007763911334553,1.0,0.0,0.0269824999999999,0.0009449316553768
google_gemma_7b,abstract_algebra,random,mmlu:abstract_algebra,google_gemma_7b,1600.0,random_uniform,PE-Rasch,0.0551364241948251,0.0062406069833769,0.0716579978914527,0.0070482649619209,0.0357752288032732,0.0058859447671313,0.3402604258354808,0.0153332614756081,0.10081211122975,0.0029314363487384,1.0,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,anatomy,balanced,mmlu:anatomy,google_gemma_7b,200.0,two_way_balanced,Avg,0.2757481432813333,0.0180976853973138,0.3390846958317339,0.0179764503787927,0.2632740692072593,0.0188903263560329,4.657016728573582,0.3829425971606435,0.3602744314147369,0.0125106190376776,,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,anatomy,balanced,mmlu:anatomy,google_gemma_7b,200.0,two_way_balanced,BayPIRE,0.0214564453543993,0.0041202496944958,0.0263325770618566,0.0045412157877783,0.015084252733405,0.0067311714367952,0.3549648602668656,0.0204737616190283,0.099112195875893,0.0078302204295991,1.0,1.0,0.0,0.2527002882140251,0.0526952550081253,0.2520958019922244,0.0519091041028375,1.0,0.0,0.2720794444444443,0.0500830738272793,0.2715277777777777,0.0517728537327289,1.0,0.0,0.0953077442205555,0.004347912008617,1.0,0.0,0.0962164814814814,0.0043449111493677
google_gemma_7b,anatomy,balanced,mmlu:anatomy,google_gemma_7b,200.0,two_way_balanced,PE-Rasch,0.1299902162456919,0.0171204311546709,0.1659673683698894,0.0187451984579986,0.1154497914912527,0.0170849976018723,0.4909924264055158,0.0468786767613197,0.1383724493462796,0.0139795643913688,1.0,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,anatomy,balanced,mmlu:anatomy,google_gemma_7b,400.0,two_way_balanced,Avg,0.2034407394404444,0.0099546973754259,0.2408634627339073,0.0138847872845657,0.1900925912922963,0.0102938272471918,1.789104504083641,0.3018272015383925,0.3032604949567939,0.0070751703195243,,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,anatomy,balanced,mmlu:anatomy,google_gemma_7b,400.0,two_way_balanced,BayPIRE,0.0168181901219056,0.0023648865429278,0.0211863836757585,0.0026983245724546,0.0121519216592124,0.0038863965491722,0.2505478688777913,0.0073657976299866,0.0686215902068416,0.002473639373547,1.0,0.99,0.0094280904158206,0.1290013217091666,0.0117614526872253,0.1287556779741752,0.011617170479438,0.998,0.0042163702135578,0.1539187037037036,0.0092529090343648,0.152611111111111,0.0093763989455655,1.0,0.0,0.0521438760816928,0.0018842112636234,1.0,0.0,0.0525983333333332,0.0021444173381514
google_gemma_7b,anatomy,balanced,mmlu:anatomy,google_gemma_7b,400.0,two_way_balanced,PE-Rasch,0.0844729125947543,0.009021856765767,0.1210398293781744,0.0086061590017171,0.0704709699576523,0.0091144245705962,0.4140074452125919,0.0300237153837524,0.1034559676256005,0.0069293464791809,1.0,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,anatomy,balanced,mmlu:anatomy,google_gemma_7b,800.0,two_way_balanced,Avg,0.1381092591745926,0.0124267099344696,0.1684012857462821,0.0171639472457225,0.1254259258412592,0.012273451459354,0.8173304587455725,0.0842207870895461,0.2737728837788976,0.0065350244050536,,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,anatomy,balanced,mmlu:anatomy,google_gemma_7b,800.0,two_way_balanced,BayPIRE,0.0149943264457104,0.0010250414166568,0.0187675706178268,0.0012069383037399,0.0102486210452814,0.0014940188399416,0.2137960663183894,0.0065272458476723,0.0610374962979195,0.0019865541631733,1.0,0.956,0.0195505043981535,0.0793752502449754,0.012838294624435,0.0793133178157398,0.0128294835430107,0.994,0.0051639777949432,0.111465,0.0098485004452282,0.1103888888888889,0.0095167689862266,1.0,0.0,0.0326409385844617,0.000758937834514,1.0,0.0,0.0336035185185185,0.0012130556148448
google_gemma_7b,anatomy,balanced,mmlu:anatomy,google_gemma_7b,800.0,two_way_balanced,PE-Rasch,0.0679936834299704,0.0087278655661783,0.0890791684431558,0.0118523727252113,0.0553232890393415,0.0087978575695889,0.3659348467498663,0.0343286524860578,0.0911371415694682,0.0065671586180432,1.0,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,anatomy,balanced,mmlu:anatomy,google_gemma_7b,1600.0,two_way_balanced,Avg,0.0906532407407407,0.0055589150721912,0.1130377424822314,0.0057534066932007,0.0789726851851851,0.006111121808352,0.7136698238507357,0.0046968941960765,0.2579029346113445,0.0016671991091541,,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,anatomy,balanced,mmlu:anatomy,google_gemma_7b,1600.0,two_way_balanced,BayPIRE,0.0142608720909043,0.0008840446661622,0.0178564653572413,0.0012641890506143,0.0080241249163299,0.0018392767053652,0.1911344100789747,0.0059969135016104,0.0566929156015791,0.0016814384607468,1.0,0.892,0.0612463150818978,0.0597249821894417,0.0086738092323509,0.0597614319604964,0.0086658752971936,0.989,0.0087559503577091,0.0945733333333333,0.0052567385282392,0.0937499999999997,0.0049427545238651,0.9,0.3162277660168379,0.0208556095003783,0.0006177835879711,1.0,0.0,0.0221431481481481,0.000657698625581
google_gemma_7b,anatomy,balanced,mmlu:anatomy,google_gemma_7b,1600.0,two_way_balanced,PE-Rasch,0.0488422944131678,0.0028421883105574,0.0621421856011171,0.0027070806114388,0.0374097751328736,0.0030009601081014,0.2582933178975287,0.0162693496726058,0.0730482368195049,0.0025045448755746,1.0,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,anatomy,random,mmlu:anatomy,google_gemma_7b,200.0,random_uniform,Avg,0.2815066090709842,0.0189073357529056,0.3456716420436861,0.0154203351742995,0.2682032757376508,0.0182072455315833,4.558929249305678,0.391782872929895,0.3645590441414271,0.0109643305582935,,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,anatomy,random,mmlu:anatomy,google_gemma_7b,200.0,random_uniform,BayPIRE,0.0221288251245141,0.004715589127851,0.0271286765495459,0.0052145763440863,0.018876456738102,0.0068536326477286,0.4053072236876838,0.01900857778082,0.1242616685235669,0.0081279708413013,1.0,1.0,0.0,0.2350264665778998,0.0256437684416422,0.2356071730373108,0.0259129312162939,1.0,0.0,0.254956111111111,0.0238408547938347,0.255574074074074,0.0242334782746559,1.0,0.0,0.1153582711473252,0.0041233397775695,1.0,0.0,0.116011111111111,0.0038084168651084
